23203	59.764	60.018	60.196	60.304	60.34	60.354	60.339	60.328	60.313	60.301	60.27	60.214	60.135	60	59.824	59.608	59.337	59.045	58.751	58.461
23192	59.772	60.025	60.199	60.3	60.339	60.353	60.346	60.337	60.325	60.308	60.27	60.219	60.127	60.007	59.844	59.598	59.34	59.047	58.763	58.475
23181	59.773	60.024	60.206	60.302	60.35	60.356	60.344	60.335	60.321	60.312	60.273	60.225	60.142	60.015	59.842	59.606	59.342	59.068	58.766	58.474
23170	59.775	60.028	60.208	60.311	60.354	60.357	60.353	60.33	60.324	60.317	60.282	60.223	60.143	60.011	59.844	59.617	59.347	59.054	58.76	58.48
23160	59.785	60.032	60.214	60.322	60.36	60.363	60.359	60.34	60.331	60.313	60.286	60.234	60.139	60.014	59.849	59.62	59.354	59.065	58.764	58.473
23149	59.786	60.037	60.211	60.32	60.356	60.369	60.362	60.35	60.338	60.324	60.292	60.237	60.153	60.024	59.845	59.627	59.36	59.059	58.767	58.481
23138	59.785	60.049	60.213	60.324	60.36	60.365	60.365	60.347	60.346	60.316	60.296	60.239	60.155	60.016	59.844	59.628	59.358	59.065	58.768	58.487
23128	59.788	60.045	60.217	60.324	60.366	60.37	60.371	60.35	60.346	60.324	60.3	60.246	60.158	60.027	59.844	59.631	59.363	59.076	58.772	58.479
23117	59.796	60.047	60.222	60.33	60.367	60.377	60.37	60.36	60.337	60.323	60.301	60.245	60.158	60.037	59.856	59.63	59.372	59.076	58.778	58.496
23106	59.793	60.048	60.229	60.331	60.373	60.374	60.372	60.362	60.346	60.331	60.302	60.26	60.163	60.038	59.858	59.632	59.365	59.082	58.774	58.495
23096	59.802	60.054	60.238	60.331	60.378	60.383	60.375	60.366	60.346	60.338	60.309	60.248	60.17	60.044	59.876	59.646	59.381	59.086	58.782	58.515
23085	59.805	60.061	60.236	60.333	60.383	60.388	60.382	60.366	60.35	60.337	60.311	60.262	60.165	60.043	59.861	59.646	59.387	59.091	58.787	58.512
23074	59.808	60.059	60.232	60.342	60.389	60.391	60.386	60.372	60.359	60.339	60.316	60.263	60.179	60.05	59.867	59.653	59.383	59.098	58.785	58.502
23064	59.81	60.063	60.242	60.35	60.383	60.394	60.392	60.377	60.372	60.348	60.32	60.267	60.171	60.045	59.876	59.655	59.39	59.091	58.786	58.503
23053	59.814	60.06	60.244	60.355	60.392	60.398	60.392	60.38	60.365	60.343	60.324	60.277	60.178	60.06	59.884	59.663	59.397	59.096	58.8	58.516
23042	59.822	60.075	60.244	60.352	60.393	60.401	60.397	60.384	60.367	60.354	60.325	60.272	60.186	60.052	59.886	59.656	59.405	59.112	58.785	58.52
23032	59.822	60.072	60.248	60.357	60.4	60.405	60.397	60.383	60.376	60.366	60.33	60.275	60.197	60.066	59.894	59.662	59.399	59.108	58.788	58.52
23021	59.829	60.084	60.249	60.358	60.407	60.405	60.405	60.397	60.381	60.363	60.331	60.281	60.202	60.062	59.885	59.672	59.396	59.105	58.816	58.529
23011	59.84	60.079	60.259	60.365	60.409	60.412	60.399	60.395	60.384	60.362	60.332	60.278	60.193	60.068	59.893	59.662	59.405	59.11	58.814	58.522
23000	59.837	60.078	60.257	60.362	60.409	60.413	60.407	60.401	60.389	60.367	60.336	60.285	60.194	60.077	59.897	59.675	59.411	59.109	58.807	58.529
22989	59.833	60.089	60.268	60.374	60.416	60.421	60.413	60.399	60.387	60.369	60.338	60.286	60.205	60.077	59.906	59.677	59.413	59.112	58.813	58.54
22979	59.845	60.087	60.268	60.37	60.411	60.428	60.417	60.401	60.39	60.377	60.348	60.295	60.202	60.078	59.905	59.685	59.414	59.125	58.812	58.534
22968	59.846	60.097	60.27	60.375	60.418	60.426	60.418	60.403	60.396	60.381	60.346	60.295	60.209	60.08	59.901	59.689	59.415	59.117	58.817	58.535
22958	59.845	60.092	60.273	60.382	60.416	60.428	60.421	60.414	60.41	60.383	60.354	60.288	60.21	60.089	59.906	59.687	59.415	59.112	58.805	58.55
22947	59.853	60.101	60.275	60.385	60.42	60.43	60.425	60.412	60.404	60.389	60.355	60.297	60.217	60.091	59.909	59.684	59.425	59.133	58.828	58.557
